name,language,stars,forks,size,last_pushed
rogerpadilla/angular2-minimalist-starter,TypeScript,345,46,561,2016-08-08T16:40:26Z
pleerock/routing-controllers,TypeScript,345,56,683,2017-06-23T06:40:31Z
toddmotto/angular-pizza-creator,TypeScript,343,79,2399,2017-05-08T14:30:13Z
BackburnerJS/backburner.js,TypeScript,343,71,673,2017-06-15T16:53:45Z
angulartics/angulartics2,TypeScript,337,65,261,2017-06-16T16:35:23Z
kekeh/mydatepicker,TypeScript,335,211,8009,2017-06-18T10:13:18Z
veloce/lichobile,TypeScript,333,73,61489,2017-06-23T10:06:27Z
lathonez/clicker,TypeScript,332,121,3396,2017-06-11T01:34:49Z
damienbod/AngularWebpackVisualStudio,TypeScript,331,98,13560,2017-06-23T16:19:10Z
GhostText/GhostText,TypeScript,327,27,1431,2017-06-01T04:05:47Z
ionic-team/ionic-starter-super,TypeScript,326,124,4625,2017-06-21T15:18:20Z
Microsoft/ReSub,TypeScript,326,21,160,2017-05-30T22:51:54Z
indrimuska/angular-moment-picker,TypeScript,325,101,954,2017-06-09T07:50:23Z
alex3165/react-mapbox-gl,TypeScript,324,111,11780,2017-06-23T17:53:06Z
johnpapa/vscode-angular-snippets,TypeScript,322,85,4959,2017-06-15T13:38:12Z
greengerong/rebirth,TypeScript,321,115,17830,2017-06-22T07:19:25Z
TwanoO67/ng2-admin-lte,TypeScript,318,179,12459,2017-06-19T09:22:24Z
